id,type,relationshipType,relationshipId
hola.com,domain,referrer_files,aaaaaaaaa
hola.com,domain,downloaded_files,aaaaaa
hola.com,domain,downloaded_files,bbbbb
hola.com,domain,downloaded_files,cccccc
aaaaaaaaa,file,similar_files,http://aaaaa.com
aaaaaaaaa,file,embedded_ips,asjfkjdsafjhhfdsahdsahfhhfdshdsahfdsahfdsahfhjdsajhffjhlkdsafljhdsaflhjsdakjhfhdsafjhdsa
e68cbc75a9d60a827f816a75e79df7981854a4d81fc6b1c1e152d70d4e483bce,url,redirecting_urls,dsafdsafdsfdsafdsafdsaf
dsafdsafdsfdsafdsafdsaf,url,embedded_js_files,e85eaaa5418b0fe3ebbefe9890658a5d
dsafdsafdsfdsafdsafdsaf,url,embedded_js_files,0cccdd04b47dfcd6d20b4d1e21738cca
dsafdsafdsfdsafdsafdsaf,url,embedded_js_files,ebe3ec1a4b41fb8ecd10c87f3e872091
dsafdsafdsfdsafdsafdsaf,url,embedded_js_files,48fb019529cdd750d20693710da30fbc
dsafdsafdsfdsafdsafdsaf,url,embedded_js_files,fa811ba05c9de62cb080a4122d73029c
dsafdsafdsfdsafdsafdsaf,url,embedded_js_files,2a345dc5139868a68b141879ba125781
dsafdsafdsfdsafdsafdsaf,url,embedded_js_files,9cb24e79b4e5b12b82833444a08cfc4c
dsafdsafdsfdsafdsafdsaf,url,embedded_js_files,70db38d4aefa0145355afb04a8a45cc7
dsafdsafdsfdsafdsafdsaf,url,embedded_js_files,986429ea3fa05c5a6dfa0a187a923f3f
dsafdsafdsfdsafdsafdsaf,url,embedded_js_files,950e03b916bf6d0b7d44e17502553603
dsafdsafdsfdsafdsafdsaf,url,embedded_js_files,0b844e6a55a45248a7d393d20b68a41f
dsafdsafdsfdsafdsafdsaf,url,embedded_js_files,f5358788d5583aad4a043f7293560501
dsafdsafdsfdsafdsafdsaf,url,embedded_js_files,d8c297451e913188a2a3e09f00535e45
dsafdsafdsfdsafdsafdsaf,url,embedded_js_files,3b54bf7ca149a98e3e7813e20c19be3c
dsafdsafdsfdsafdsafdsaf,url,embedded_js_files,ffc2a1df57f016686a0613d084b57646
dsafdsafdsfdsafdsafdsaf,url,embedded_js_files,df2b39e5e6da063b8922c4a0d98370f6
dsafdsafdsfdsafdsafdsaf,url,embedded_js_files,0a5458540bf7e1e5bfd5bbc66966c334
dsafdsafdsfdsafdsafdsaf,url,embedded_js_files,2c62dec37e1681a09a479a27e5c7aa7f
dsafdsafdsfdsafdsafdsaf,url,embedded_js_files,d249eba55ddcac91d851bfe09730e49f
dsafdsafdsfdsafdsafdsaf,url,embedded_js_files,5d667ee8a8833a8d0d88e74baf40b481
