id,type,relationshipType,relationshipId
hola.com,domain,referrer_files,aaaaaaaaa
hola.com,domain,downloaded_files,aaaaaa
hola.com,domain,downloaded_files,bbbbb
hola.com,domain,downloaded_files,cccccc
aaaaaaaaa,file,similar_files,http://aaaaa.com
aaaaaaaaa,file,embedded_ips,asjfkjdsafjhhfdsahdsahfhhfdshdsahfdsahfdsahfhjdsajhffjhlkdsafljhdsaflhjsdakjhfhdsafjhdsa
e68cbc75a9d60a827f816a75e79df7981854a4d81fc6b1c1e152d70d4e483bce,url,redirecting_urls,dsafdsafdsfdsafdsafdsaf
hola.com,domain,referrer_files,0a82daaf4cfa45a4f531123a597a775e83ec76afb554a48da08e2906ac290350 
hola.com,domain,referrer_files,c1dbb19406f77dfd921d53794a7f146540097d01f5e06ad8074619223a7c3de0 
hola.com,domain,referrer_files,20ca97eca52014288712f85806d73d6f9a3b80d81119fe65e8f31c5f3d80af6d 
hola.com,domain,referrer_files,64becb7fe50e119fe606490d04d853aa91afb3314bb8934b3304747a16be3d63 
hola.com,domain,referrer_files,ac0d7b2a8866eca861fa16da5101ffb3894c1d309a1fb3559b3e9047a3bd7a76
origin-us-webtv.hola.com,domain,downloaded_files,0a82daaf4cfa45a4f531123a597a775e83ec76afb554a48da08e2906ac290350 
origin-us-webtv.hola.com,domain,downloaded_files,c1dbb19406f77dfd921d53794a7f146540097d01f5e06ad8074619223a7c3de0 
origin-us-webtv.hola.com,domain,downloaded_files,20ca97eca52014288712f85806d73d6f9a3b80d81119fe65e8f31c5f3d80af6d 
origin-us-webtv.hola.com,domain,downloaded_files,64becb7fe50e119fe606490d04d853aa91afb3314bb8934b3304747a16be3d63 
origin-us-webtv.hola.com,domain,downloaded_files,ac0d7b2a8866eca861fa16da5101ffb3894c1d309a1fb3559b3e9047a3bd7a76
